plasma-activities-stats 6.6.1-1
plasma-browser-integration 6.6.1-1
plasma-desktop 6.6.1-1
plasma-disks 6.6.1-1
plasma-firewall 6.6.1-1
plasma-integration 6.6.1-1
plasma-keyboard 6.6.1-1
plasma-nm 6.6.1-1
plasma-pa 6.6.1-1
plasma-systemmonitor 6.6.1-1
plasma-workspace 6.6.1-1
plasma-x11-session 6.6.1-1
plasma5support 6.6.1-1
plocate 1.1.24-1
polkit 127-3
polkit-kde-agent 6.6.1-1
polkit-qt6 0.200.0-1
poppler 26.02.0-2
poppler-data 0.4.12-2
poppler-glib 26.02.0-2
poppler-qt6 26.02.0-2
popt 1.19-2
portaudio 1:19.7.0-3
power-profiles-daemon 0.30-1
powerdevil 6.6.1-1
ppp 2.5.2-1
print-manager 1:6.6.1-1
prison 6.23.0-1
procps-ng 4.0.6-1
protobuf 33.1-3
protobuf-c 1.5.2-8
proton-pass-bin 1.34.2-1
proton-vpn-daemon 0.13.4-8
proton-vpn-gtk-app 4.14.1-2
psmisc 23.7-1
pulseaudio-qt 1.7.0-2
purpose 6.23.0-1
python 3.14.3-1
python-aiohappyeyeballs 2.6.1-4
python-aiohttp 3.13.3-1
python-aiosignal 1.4.0-3
python-annotated-types 0.7.0-3
python-attrs 25.4.0-3
python-bcc 0.36.1-1
python-bcrypt 5.0.0-2
python-cairo 1.29.0-2
python-capng 0.9-1
python-certifi 2026.01.04-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.4-2
python-colorama 0.4.6-6
python-cryptography 46.0.5-2
python-dbus 1.4.0-2
python-dbus-fast 3.1.2-2
python-defusedxml 0.7.1-8
python-distro 1.9.0-4
python-fido2 2.1.1-1
python-firewall 2.4.0-6
python-frozenlist 1.8.0-2
python-gnupg 0.5.6-2
python-gobject 3.54.5-2
python-httplib2 0.31.2-1
python-idna 3.11-2
python-importlib-metadata 8.7.1-3
python-jaraco.classes 3.4.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jeepney 0.9.0-3
python-jinja 1:3.1.6-3
python-keyring 25.7.0-3
python-markupsafe 3.0.2-2
python-more-itertools 10.8.0-2
python-multidict 6.7.1-1
python-orjson 3.11.7-1
python-packaging 26.0-1
python-propcache 0.4.1-2
python-proton-core 0.7.0-3
python-proton-keyring-linux 0.2.1-4
python-proton-vpn-api-core 4.14.3-1
python-proton-vpn-local-agent 1.6.0-3
python-psutil 7.2.2-1
python-pyaml 24.12.0-2
python-pycparser 2.23-2
python-pydantic 2.12.5-4
python-pydantic-core 3:2.41.5-3
python-pynacl 1.6.2-1
python-pyopenssl 25.3.0-2
python-pyparsing 3.3.2-1
python-pyqt6 6.10.2-3
python-pyqt6-sip 13.11.0-1
python-requests 2.32.5-4
python-secretstorage 3.3.3-7
python-sentry_sdk 2.53.0-1
python-shtab 1.8.0-2
python-six 1.17.0-2
python-termcolor 3.3.0-1
python-typing-inspection 0.4.2-2
python-typing_extensions 4.15.0-3
python-urllib3 2.6.3-1
python-yaml 6.0.3-2
python-yarl 1.23.0-1
python-zipp 3.21.0-4
qca-qt6 2.3.10-4
qcoro 0.13.0-1
qqc2-breeze-style 6.6.1-1
qqc2-desktop-style 6.23.0-2
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-5compat 6.10.2-1
qt6-base 6.10.2-1
qt6-connectivity 6.10.2-1
qt6-declarative 6.10.2-1
qt6-imageformats 6.10.2-1
qt6-location 6.10.2-1
qt6-multimedia 6.10.2-1
qt6-multimedia-ffmpeg 6.10.2-1
qt6-positioning 6.10.2-1
qt6-quick3d 6.10.2-1
qt6-quicktimeline 6.10.2-1
qt6-sensors 6.10.2-1
qt6-shadertools 6.10.2-1
qt6-speech 6.10.2-1
qt6-svg 6.10.2-1
qt6-tools 6.10.2-1
qt6-translations 6.10.2-1
qt6-virtualkeyboard 6.10.2-1
